 Fx=  0.000000000000000E+000 Fy=  0.400000005960464      Fz=
  0.000000000000000E+000 top layer nodes
   255         0.34616E+00        -0.39297E+01         0.31786E+00
   258         0.42880E+00        -0.32822E+01         0.30701E+00
   261         0.42261E+00        -0.25603E+01         0.30181E+00
   264         0.43576E+00        -0.19149E+01         0.29708E+00
   267        -0.39259E+00        -0.12244E+01         0.38536E+00
   270        -0.46643E+00        -0.19846E+01         0.37734E+00
   273        -0.41121E+00        -0.27000E+01         0.37075E+00
   276        -0.33791E+00        -0.33382E+01         0.37843E+00
   279        -0.18551E+00        -0.37825E+01         0.38583E+00
   282         0.25225E-13        -0.39204E+01         0.38534E+00
   285         0.18551E+00        -0.37825E+01         0.38583E+00
   288         0.33791E+00        -0.33382E+01         0.37843E+00
   291         0.41121E+00        -0.27000E+01         0.37075E+00
   294         0.46643E+00        -0.19846E+01         0.37734E+00
   297         0.39259E+00        -0.12244E+01         0.38536E+00
   300        -0.48849E+00        -0.66918E+00         0.30037E+00
   303        -0.38266E+00        -0.13060E+01         0.35312E+00
   306        -0.43852E+00        -0.20737E+01         0.39131E+00
   309        -0.33015E+00        -0.27134E+01         0.37444E+00
   312        -0.18759E+00        -0.31557E+01         0.37451E+00
   315        -0.62912E-14        -0.33270E+01         0.37416E+00
   318         0.18759E+00        -0.31557E+01         0.37451E+00
   321         0.33015E+00        -0.27134E+01         0.37444E+00
   324         0.43852E+00        -0.20737E+01         0.39131E+00
   327         0.38266E+00        -0.13060E+01         0.35312E+00
   330         0.48849E+00        -0.66918E+00         0.30037E+00
   333         0.44992E-09         0.14973E-09        -0.49403E-09
   336        -0.42133E+00        -0.73514E+00         0.35790E+00
   339        -0.39329E+00        -0.14443E+01         0.36088E+00
   342        -0.33158E+00        -0.21208E+01         0.34616E+00
   345        -0.18137E+00        -0.25725E+01         0.33224E+00
   348         0.18727E-14        -0.27222E+01         0.31643E+00
   351         0.18137E+00        -0.25725E+01         0.33224E+00
   354         0.33158E+00        -0.21208E+01         0.34616E+00
   357         0.39329E+00        -0.14443E+01         0.36088E+00
   360         0.42133E+00        -0.73514E+00         0.35790E+00
   363        -0.44992E-09         0.14973E-09        -0.49403E-09
 Fx=  0.000000000000000E+000 Fy=  0.400000005960464      Fz=
  0.000000000000000E+000 all nodes
     1        -0.44792E-09         0.14830E-09        -0.49177E-09
 time_begin=  1.560010000000000E-002
 time_end=   660.165031800000     
     2         0.38366E-11         0.20234E-09         0.40597E-11
 time_begin=  1.560010000000000E-002
 time_end=   660.165031800000     
     3         0.44992E-09         0.14973E-09         0.49403E-09
 time_begin=  1.560010000000000E-002
 time_end=   660.165031800000     
     4         0.41822E+00        -0.73457E+00         0.35524E+00
 time_begin=  1.560010000000000E-002
 time_end=   660.165031800000     
     5        -0.17207E-02        -0.69332E+00        -0.14725E-02
 time_begin=  1.560010000000000E-002
 time_end=   660.165031800000     
     6        -0.42133E+00        -0.73514E+00        -0.35790E+00
 time_begin=  1.560010000000000E-002
 time_end=   660.165031800000     
     7         0.38919E+00        -0.14443E+01         0.35592E+00
 time_begin=  1.560010000000000E-002
 time_end=   660.165031800000     
     8        -0.22168E-02        -0.14560E+01        -0.25760E-02
 time_begin=  1.560010000000000E-002
 time_end=   660.165031800000     
     9        -0.39329E+00        -0.14443E+01        -0.36088E+00
 time_begin=  1.560010000000000E-002
 time_end=   660.165031800000     
    10         0.32782E+00        -0.21210E+01         0.33981E+00
 time_begin=  1.560010000000000E-002
 time_end=   660.165031800000     
    11        -0.15183E-02        -0.21341E+01        -0.29823E-02
 time_begin=  1.560010000000000E-002
 time_end=   660.165031800000     
    12        -0.33158E+00        -0.21208E+01        -0.34616E+00
 time_begin=  1.560010000000000E-002
 time_end=   660.165031800000     
    13         0.17975E+00        -0.25708E+01         0.32624E+00
 time_begin=  1.560010000000000E-002
 time_end=   660.165031800000     
    14        -0.20096E-02        -0.25929E+01        -0.40964E-02
 time_begin=  1.560010000000000E-002
 time_end=   660.165031800000     
    15        -0.18137E+00        -0.25725E+01        -0.33224E+00
 time_begin=  1.560010000000000E-002
 time_end=   660.165031800000     
    16         0.21538E-13        -0.27111E+01         0.31569E+00
 time_begin=  1.560010000000000E-002
 time_end=   660.165031800000     
    17        -0.67724E-14        -0.27733E+01        -0.77551E-02
 time_begin=  1.560010000000000E-002
 time_end=   660.165031800000     
    18        -0.17922E-12        -0.27222E+01        -0.31643E+00
 time_begin=  1.560010000000000E-002
 time_end=   660.165031800000     
    19        -0.17975E+00        -0.25708E+01         0.32624E+00
 time_begin=  1.560010000000000E-002
 time_end=   660.165031800000     
    20         0.20096E-02        -0.25929E+01        -0.40964E-02
 time_begin=  1.560010000000000E-002
 time_end=   660.165031800000     
    21         0.18137E+00        -0.25725E+01        -0.33224E+00
 time_begin=  1.560010000000000E-002
 time_end=   660.165031800000     
    22        -0.32782E+00        -0.21210E+01         0.33981E+00
 time_begin=  1.560010000000000E-002
 time_end=   660.165031800000     
    23         0.15183E-02        -0.21341E+01        -0.29823E-02
 time_begin=  1.560010000000000E-002
 time_end=   660.165031800000     
    24         0.33158E+00        -0.21208E+01        -0.34616E+00
 time_begin=  1.560010000000000E-002
 time_end=   660.165031800000     
    25        -0.38919E+00        -0.14443E+01         0.35592E+00
 time_begin=  1.560010000000000E-002
 time_end=   660.165031800000     
    26         0.22168E-02        -0.14560E+01        -0.25760E-02
 time_begin=  1.560010000000000E-002
 time_end=   660.165031800000     
    27         0.39329E+00        -0.14443E+01        -0.36088E+00
 time_begin=  1.560010000000000E-002
 time_end=   660.165031800000     
    28        -0.41822E+00        -0.73457E+00         0.35524E+00
 time_begin=  1.560010000000000E-002
 time_end=   660.165031800000     
    29         0.17207E-02        -0.69332E+00        -0.14725E-02
 time_begin=  1.560010000000000E-002
 time_end=   660.165031800000     
    30         0.42133E+00        -0.73514E+00        -0.35790E+00
 time_begin=  1.560010000000000E-002
 time_end=   660.165031800000     
    31         0.44792E-09         0.14830E-09        -0.49177E-09
 time_begin=  1.560010000000000E-002
 time_end=   660.165031800000     
    32        -0.38366E-11         0.20234E-09         0.40597E-11
 time_begin=  1.560010000000000E-002
 time_end=   660.165031800000     
    33        -0.44992E-09         0.14973E-09         0.49403E-09
 time_begin=  1.560010000000000E-002
 time_end=   660.165031800000     
    34         0.48441E+00        -0.66826E+00         0.29789E+00
 time_begin=  1.560010000000000E-002
 time_end=   660.165031800000     
    35        -0.18062E-02        -0.53936E+00        -0.11189E-02
 time_begin=  1.560010000000000E-002
 time_end=   660.165031800000     
    36        -0.48849E+00        -0.66918E+00        -0.30037E+00
 time_begin=  1.560010000000000E-002
 time_end=   660.165031800000     
    37         0.37971E+00        -0.13058E+01         0.35032E+00
 time_begin=  1.560010000000000E-002
 time_end=   660.165031800000     
    38        -0.16481E-02        -0.13218E+01        -0.15134E-02
 time_begin=  1.560010000000000E-002
 time_end=   660.165031800000     
    39        -0.38266E+00        -0.13060E+01        -0.35312E+00
 time_begin=  1.560010000000000E-002
 time_end=   660.165031800000     
    40         0.43476E+00        -0.20737E+01         0.38614E+00
 time_begin=  1.560010000000000E-002
 time_end=   660.165031800000     
    41        -0.17585E-02        -0.20755E+01        -0.25600E-02
 time_begin=  1.560010000000000E-002
 time_end=   660.165031800000     
    42        -0.43852E+00        -0.20737E+01        -0.39131E+00
 time_begin=  1.560010000000000E-002
 time_end=   660.165031800000     
    43         0.32718E+00        -0.27133E+01         0.36720E+00
 time_begin=  1.560010000000000E-002
 time_end=   660.165031800000     
    44        -0.20669E-02        -0.27307E+01        -0.36329E-02
 time_begin=  1.560010000000000E-002
 time_end=   660.165031800000     
    45        -0.33015E+00        -0.27134E+01        -0.37444E+00
 time_begin=  1.560010000000000E-002
 time_end=   660.165031800000     
    46         0.18481E+00        -0.31562E+01         0.36505E+00
 time_begin=  1.560010000000000E-002
 time_end=   660.165031800000     
    47         0.24467E-03        -0.31776E+01        -0.44508E-02
 time_begin=  1.560010000000000E-002
 time_end=   660.165031800000     
    48        -0.18759E+00        -0.31557E+01        -0.37451E+00
 time_begin=  1.560010000000000E-002
 time_end=   660.165031800000     
    49         0.13899E-12        -0.33371E+01         0.36207E+00
 time_begin=  1.560010000000000E-002
 time_end=   660.165031800000     
    50        -0.27645E-13        -0.33191E+01        -0.31538E-02
 time_begin=  1.560010000000000E-002
 time_end=   660.165031800000     
    51        -0.86972E-13        -0.33270E+01        -0.37416E+00
 time_begin=  1.560010000000000E-002
